scenario,concurrency,prompt_type,ttft_ms,tpot,total_latency_ms
short_c1,1,short,1683.5478999964835,0.593949895694069,1683.6436999983562
long_c1,1,long,128.64410000111093,7.772804046745065,128.6537000014505
short_c4,4,short,19301.797800002532,0.0518082259868104,19301.95410000306
short_c4,4,short,19633.1199999986,0.050933939744669046,19633.274100000563
short_c4,4,short,19734.31669999991,0.050672719624369464,19734.48450000069
short_c4,4,short,19882.099900001776,0.050296119408944205,19882.24959999934
long_c4,4,long,928.8447999970231,1.0765976628594702,928.8520999980392
long_c4,4,long,952.0268000014767,1.050382764730312,952.0339000009699
long_c4,4,long,8702.564700000949,0.11490605596854828,8702.761500000634
long_c4,4,long,8946.704999998474,0.11177086971710726,8946.874999997817
short_c8,8,short,29235.434300000634,0.034204821914628626,29235.644100001082
short_c8,8,short,32732.480799997575,0.030550530519434432,32732.65579999861
short_c8,8,short,33771.63649999784,0.029610494143894696,33771.8105999993
short_c8,8,short,33755.72370000009,0.02962446303549706,33755.88610000341
short_c8,8,short,33810.58850000045,0.029576381101798964,33810.76259999827
short_c8,8,short,33850.98819999985,0.029541081921504782,33851.16370000105
short_c8,8,short,33871.48520000119,0.029523215277719995,33871.649500000785
short_c8,8,short,34238.9159000013,0.029206382332876743,34239.09160000039
long_c8,8,long,2138.1715000024997,0.4676874287763372,2138.180200003262
long_c8,8,long,2198.8129999990633,0.4547889526853257,2198.8220999992336
long_c8,8,long,25953.875800001697,0.03852962846553372,25954.052500001126
long_c8,8,long,27495.252099997742,0.03636967835911274,27495.43149999954
long_c8,8,long,27975.776700001006,0.03574489879455512,27976.01990000112
long_c8,8,long,28037.43349999786,0.03566638703030733,28037.602999997034
long_c8,8,long,28181.325599998672,0.03548425245779784,28181.515199998103
long_c8,8,long,28266.213300001255,0.03537772040297689,28266.37750000009
